data-meta-instanceID,data-HutName,data-OtherHutLocation,data-GasBottle1,data-GasBottle2,data-SleepingBags,data-SleepingBagsHowMany,data-NeedWashing,data-HowManyNeedWashing,data-NeedsSparesBox,data-TickWhatNeeded,data-GearBehind,data-ListGear,data-FlyOut,data-ListFlyOut,data-HutNeedsAnythign,data-HutNeedsList,data-HutNeedsOther,data-KitchenItems,data-OtherKitchen,data-FoodItems,data-OtherFood,data-NeedsFirewood,data-ListFireThings,data-Notes,data-Photo,data-date,data-VolunteerName,
,jennings_biv,,full,empty,one,,,,no,,,,yes,,yes,gumboots toilet_paper chilly_bin kitchen_items,,cheese_grater other,Chopping board,,,no_fire,,,,Fri Oct 30 00:00:00 UTC 2015,craig,
,pointburn_biv,,half,full,two,,,,yes,,,hammer,yes,,no,,,,,,,no_fire,,,,Mon Nov 02 00:00:00 UTC 2015,Norm,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,no,,,,,,,no,,,,Mon Nov 02 00:00:00 UTC 2015,Norm,
,snag_hut,,three_quarters,none,two,,,,no,,,,yes,,no,,,,,,,firewood,,,,Wed Dec 02 00:00:00 UTC 2015,Tom Fergus Goodman,
,aurora_point_hut,,half,full,two,,,,no,,,,no,,no,,,,,,,firewood,,,,Sat Dec 05 00:00:00 UTC 2015,Tom G,
,plateau_creek_hut,,full,full,two,,,,no,,,,yes,,yes,pindone other,Spade,,,,,no,,,,Tue Dec 01 00:00:00 UTC 2015,joel,
,top_ettrick_hut,,three_quarters,empty,two,,,,list,pencil,,,yes,,no,,,,,,,no,,,,Fri Dec 04 00:00:00 UTC 2015,joel,
,mystery_biv,,full,three_quarters,three,,,,list,8mm_spanner sponge scourer hammer pink_triangles packing_tape,,,yes,,yes,baitstations pindone other,Spares bin,,,,,no_fire,,,,Thu Dec 10 00:00:00 UTC 2015,joel,
,pointburn_biv,,one_quarter,full,two,,,,list,8mm_spanner scrapper hammer pink_triangles pencil,,,yes,,no,,,,,,,no_fire,,,,Fri Dec 11 00:00:00 UTC 2015,joel,
,jennings_biv,,three_quarters,empty,one,,,,list,,,,other,2 x fuel containers. 2 x chain oil containers. 1 gas bottle. 2 x box rubbish,yes,gumboots pindone chilly_bin kitchen_items food_items,,fish_slice cheese_grater other,vege peeler,suger,,no_fire,,,,Wed Dec 16 00:00:00 UTC 2015,Ben,
,wisely_hut,,half,full,two,,,,list,,,,yes,,yes,baitstations pindone toilet_paper chilly_bin,,,,,,no_fire,,,,Fri Dec 18 00:00:00 UTC 2015,Ben,
,te_au_hut,,one_quarter,full,one,,,,no,,,,yes,,yes,gumboots chilly_bin kitchen_items,,platesx2 bowlsx2 tea_towel cloth other,chopping board,,,firewood,,,,Sat Dec 19 00:00:00 UTC 2015,Ben,
,mckenzie_villa,,one_quarter,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,gumboots baitstations toilet_paper chilly_bin other,gas. candles. fly spray. spares box.,,,,,firewood,,,,Sun Dec 20 00:00:00 UTC 2015,Ben,
,mystery_biv,,full,full,three,,,,yes,,,8mm_ratchet_nut 8mm_spanner sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,baitstations pindone toilet_paper kitchen_items food_items other,Spares bin,camp_oven fish_slice cheese_grater,,cooking_oil salt pepper suger,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ac4a4d499-cce2-4793-91a2-419960b3bba5%5D%2Fimage,Sun Oct 25 00:00:00 UTC 2015,thomas,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,yes,baitstations pindone kitchen_items food_items,,cheese_grater sharp_knife tea_towel,,,,firewood,,,,Thu Oct 29 00:00:00 UTC 2015,thomas,
